"","YEAR","SERIAL","MONTH","HWTFINL","CPSID","ASECFLAG","HFLAG","ASECWTH","HHINTYPE","CPI99","REGION","STATEFIP","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","HHINCOME","HOUSRET","PROPTAX","PUBHOUS","RENTSUB","HEATSUB","HEATVAL","FOODSTMP","STAMPNO","STAMPMO","ATELUNCH","LUNCHSUB","FRELUNCH","STAMPVAL","FAMINC","UNITSSTR","PHONE","ASECOVERH","HRHHID","HRHHID2","HSEQ","INTTYPE","PERNUM","WTFINL","CPSIDP","ASECWT","RELATE","AGE","SEX","RACE","EMPSTAT","LABFORCE","CLASSWKR","ABSENT","WKSTAT","EDUC","SCHLCOLL","DIFFANY","FTOTVAL","INCTOT"
"25",2009,21076,3,NA,20090205092200,1,NA,1509.32,1,0.774,21,39,3,1681,39035,17460,0,175737,5051,2700,0,0,1,0,1,0,0,0,0,98,0,843,11,3,0,730909989450558,85001,20746,NA,2,NA,20090205092202,1509.32,201,46,1,100,10,2,21,0,11,81,0,1,175737,125100
"26",2009,21635,3,NA,0,1,NA,1628.63,1,0.774,21,39,3,1840,39049,18140,0,62700,9300,1400,0,0,1,0,1,0,0,1,2,0,0,740,11,3,1,793760014909269,83001,21305,NA,1,NA,0,1628.63,101,50,1,100,10,2,21,0,11,73,0,1,62700,33000
"27",2009,22166,3,NA,0,1,NA,1688.83,1,0.774,21,39,3,9321,0,49660,0,181580,6759,3500,0,0,1,0,1,0,0,99,0,99,0,841,11,3,1,330900067381416,83001,22166,NA,2,NA,0,1688.83,201,38,2,100,10,2,21,0,11,111,0,1,181580,151580
"28",2009,24047,3,NA,20080102280500,1,NA,2744.46,1,0.774,21,17,4,1401,0,16580,0,40343,984,1600,0,0,1,0,2,5,6,99,0,99,1638,720,11,3,0,210709996717695,84001,23831,NA,2,NA,20080102280502,2744.46,201,25,2,100,34,1,0,1,99,91,0,1,40343,3343
"29",2009,25746,3,NA,20090302166000,1,NA,1452.13,1,0.774,21,17,3,1605,0,16980,0,169021,2119,0,0,0,1,0,1,0,0,99,0,99,0,843,11,3,0,198958205078709,85001,25530,NA,4,NA,20090302166005,1205.83,301,23,1,100,10,2,21,0,11,81,5,1,169021,44020
"30",2009,25803,3,NA,20080102233400,1,NA,2767.65,1,0.774,21,17,3,1605,17111,16980,0,65024,7293,3300,0,0,1,0,1,0,0,0,0,98,0,830,11,3,0,902903951993327,84001,25587,NA,1,NA,20080102233401,2767.65,101,60,1,100,12,2,28,3,13,92,0,1,65024,65024
"31",2009,25827,3,NA,20090202230700,1,NA,1645.49,1,0.774,21,17,3,1605,17111,16980,0,82399,0,0,1,1,1,0,1,0,0,0,0,98,0,720,11,3,0,977469070389103,85001,25611,NA,2,NA,20090202230702,1543.56,301,16,2,100,34,1,0,1,99,30,1,1,0,0
"32",2009,27318,3,NA,20090102653200,1,NA,1528.88,1,0.774,21,26,3,2161,26125,19820,0,86781,4373,5200,0,0,1,0,1,0,0,2,2,0,0,841,11,3,0,291996405081647,85001,27165,NA,6,NA,20090102653206,1811.38,301,4,1,100,0,0,0,0,99,1,0,0,86781,999999999
"33",2009,27581,3,NA,20080203323000,1,NA,1746.57,1,0.774,21,26,3,2161,26163,19820,0,65002,2230,2000,0,0,1,0,1,0,0,0,0,98,0,500,11,3,0,320609972948612,84001,27428,NA,2,NA,20080203323002,1746.57,201,36,2,100,10,2,21,0,11,91,0,1,65002,28000
"34",2009,27708,3,NA,20090101295900,1,NA,2471.29,1,0.774,21,26,2,2161,26163,19820,2,75085,520,1167,0,0,1,0,1,0,0,99,0,99,0,830,11,3,0,336989560119206,85001,27555,NA,1,NA,20090101295901,2471.29,101,49,1,200,10,2,21,0,11,73,0,1,75085,50085
"35",2009,28051,3,NA,0,1,NA,1721.05,1,0.774,21,26,2,2640,26049,22420,0,16100,3208,3200,0,0,2,225,2,4,12,2,1,2,4200,996,11,3,1,662039094909292,83001,27898,NA,4,NA,0,1583.18,301,12,2,200,0,0,0,0,99,1,0,0,16100,999999999
"36",2009,29034,3,NA,0,1,NA,1379.34,1,0.774,21,55,1,9998,0,99998,0,102485,6644,2600,0,0,1,0,1,0,0,1,2,0,0,996,11,3,1,850509985954599,83001,29578,NA,4,NA,0,1461.99,301,2,1,100,0,0,0,0,99,1,0,0,102485,999999999
"37",2009,29309,3,NA,0,1,NA,1023.34,1,0.774,21,55,1,9998,0,99998,0,63726,3796,2339,0,0,1,0,1,0,0,0,0,98,0,820,11,3,1,985005983539400,83001,30533,NA,3,NA,0,987.44,301,14,2,100,0,0,0,0,99,1,0,0,63726,999999999
"38",2009,30749,3,NA,20071203524600,1,NA,1554.35,1,0.774,22,27,1,9998,0,99998,0,62000,427,784,0,0,1,0,1,0,0,99,0,99,0,740,11,3,0,320975077221329,84001,30749,NA,2,NA,20071203524602,1554.35,201,46,1,100,21,2,21,1,50,81,0,1,62000,28000
"39",2009,31010,3,NA,20081205491500,1,NA,1368.01,1,0.774,22,27,1,9998,0,99998,0,38729,5694,2500,0,0,1,0,1,0,0,99,0,99,0,710,11,3,0,28532570997492,85001,31096,NA,1,NA,20081205491501,1368.01,101,70,1,100,36,1,0,1,99,81,0,1,38729,20357
"40",2009,31373,3,NA,20080103464200,1,NA,786.6,1,0.774,22,27,3,5121,27003,33460,0,77040,3093,4800,0,0,1,0,1,0,0,3,2,0,0,820,11,3,0,157270520771201,84001,31174,NA,1,NA,20080103464201,786.6,101,46,1,100,10,2,21,0,11,91,0,1,77040,58021
"41",2009,32066,3,NA,0,1,NA,880.77,1,0.774,22,27,3,5121,0,33460,0,91615,1276,2100,0,0,1,0,1,0,0,2,2,0,0,841,11,3,1,547389280719202,83001,31867,NA,3,NA,0,851.48,301,9,1,100,0,0,0,0,99,1,0,0,91615,999999999
"42",2009,33209,3,NA,20080102463300,1,NA,1263.76,1,0.774,22,19,1,9998,0,99998,0,64517,0,0,1,1,1,0,1,0,0,99,0,99,0,740,11,3,0,820166254900913,84001,33796,NA,2,NA,20080102463302,1263.76,201,24,2,100,10,2,21,0,11,92,5,1,64517,26000
"43",2009,34177,3,NA,0,1,NA,614.81,1,0.774,22,19,4,5921,0,36540,0,112000,6454,4300,0,0,1,0,1,0,0,2,2,0,0,842,11,3,1,919029150267100,84001,33988,NA,2,NA,0,614.81,201,46,2,100,10,2,21,0,21,91,0,1,112000,32000
"44",2009,34937,3,NA,20080303711600,1,NA,2411.72,1,0.774,22,29,3,3760,0,28140,0,97560,409,185,0,0,1,0,1,0,0,99,0,99,0,841,11,3,0,420909925029694,84001,34829,NA,3,NA,20080303711603,2339.15,301,0,1,100,0,0,0,0,99,1,0,0,97560,999999999
"45",2009,35340,3,NA,20090303719000,1,NA,1173.72,1,0.774,22,29,3,7040,0,41180,0,82040,10440,3300,0,0,1,0,1,0,0,2,2,0,0,841,11,3,0,988276899900967,85001,35289,NA,2,NA,20090303719002,1173.72,201,40,1,100,10,2,21,0,11,73,0,1,82040,45020
"46",2009,35557,3,NA,20090203719200,1,NA,1338.76,1,0.774,22,29,3,7040,29189,41180,0,125250,-2625,2877,0,0,1,0,1,0,0,2,2,0,0,842,11,3,0,989049939279420,85001,35506,NA,3,NA,20090203719204,1426.33,301,10,1,100,0,0,0,0,99,1,0,0,125250,999999999
"47",2009,37055,3,NA,20081203559200,1,NA,146.74,1,0.774,22,46,1,9998,0,99998,0,7100,2202,581,0,0,2,300,1,0,0,99,0,99,0,600,11,3,0,860968064745009,85001,37055,NA,1,NA,20081203559201,146.74,101,46,1,300,10,2,25,0,11,73,0,1,7100,7100
"48",2009,37059,3,NA,20090105132500,1,NA,168.43,1,0.774,22,46,1,9998,0,99998,0,260606,2568,773,0,0,1,0,1,0,0,3,2,0,0,843,11,3,0,640606903091996,85001,37059,NA,3,NA,20090105132503,176.34,301,15,2,100,34,1,0,1,99,40,0,1,260606,0
"49",2009,37516,3,NA,20090106595200,1,NA,378.78,1,0.774,22,46,1,9998,0,99998,0,73297,0,0,1,1,1,0,1,0,0,99,0,99,0,500,11,3,0,229495709600915,84002,37516,NA,2,NA,20090106595202,378.78,1114,24,1,100,10,2,21,0,11,81,5,1,52000,52000
"50",2009,37522,3,NA,20090305841400,1,NA,351.57,1,0.774,22,46,1,9998,0,99998,0,18129,0,0,1,1,1,0,2,3,11,0,0,98,6578,100,11,3,0,440609918926495,84002,37522,NA,1,NA,20090305841401,351.57,101,23,2,100,10,2,21,0,11,73,5,1,7897,7897
"51",2009,39116,3,NA,20080103918800,1,NA,791.45,1,0.774,22,31,1,9998,0,99998,0,136808,7593,4200,0,0,1,0,1,0,0,99,0,99,0,841,11,3,0,229399939100931,84001,39116,NA,2,NA,20080103918802,791.45,201,61,2,100,10,2,21,0,11,111,0,1,136808,73404
"52",2009,39235,3,NA,0,1,NA,480.67,1,0.774,22,31,4,9999,0,99998,0,62808,0,0,1,1,1,0,1,0,0,2,2,0,0,820,11,3,1,220912079035389,84001,39766,NA,4,NA,0,469.07,301,14,2,100,0,0,0,0,99,1,0,0,62808,999999999
"53",2009,40296,3,NA,0,1,NA,586.83,1,0.774,22,20,1,9998,0,99998,0,7716,0,0,1,1,1,0,2,3,12,2,1,2,5724,210,1,3,1,602545081409763,86001,40755,NA,1,NA,0,586.83,101,35,2,100,10,2,21,0,41,73,0,1,7716,7716
"54",2009,40843,3,NA,0,1,NA,959.03,1,0.774,22,20,4,8440,0,45820,0,46006,0,0,1,2,2,200,1,0,0,0,0,98,0,500,5,3,1,930529930779208,83001,40843,NA,1,NA,0,959.03,101,31,2,100,34,1,0,1,99,111,0,1,46006,0
"55",2009,40998,3,NA,20081205682300,1,NA,698.94,1,0.774,22,20,2,9040,20173,48620,0,14000,999,950,0,0,1,0,1,0,0,0,0,98,0,710,11,3,0,402630085001410,85001,40998,NA,1,NA,20081205682301,698.94,101,44,1,100,10,2,21,0,11,73,0,1,14000,14000
"56",2009,41093,3,NA,0,1,NA,749.87,1,0.774,22,20,2,9040,20173,48620,0,80400,16134,7000,0,0,1,0,1,0,0,99,0,99,0,830,11,3,1,903520856219200,85001,41093,NA,5,NA,0,734.29,301,19,2,200,10,2,21,0,41,81,3,1,80400,7700
"57",2009,42605,3,NA,0,1,NA,194.63,1,0.774,31,10,4,6161,10003,37980,0,107000,6249,3900,0,0,1,0,1,0,0,0,0,98,0,843,11,3,1,520505096014799,83001,42177,NA,2,NA,0,194.63,201,44,2,100,12,2,21,3,13,111,0,1,107000,61000
"58",2009,42811,3,NA,0,1,NA,854.49,1,0.774,31,24,1,9998,0,99998,0,41010,195,831,0,0,1,0,1,0,0,0,0,98,0,740,11,3,1,499990360980912,86001,43919,NA,4,NA,0,862.39,301,8,2,100,0,0,0,0,99,1,0,0,41010,999999999
"59",2009,44576,3,NA,20090106679100,1,NA,1066.15,1,0.774,31,24,3,8840,0,47900,0,141224,0,0,1,1,1,0,1,0,0,99,0,99,0,600,11,3,0,489390133280962,85001,44576,NA,4,NA,20090106679102,1142.67,1115,36,1,651,10,2,21,0,11,50,0,1,11254,11254
"60",2009,44679,3,NA,0,1,NA,911.04,1,0.774,31,24,2,8840,0,47900,0,137616,0,0,1,1,1,0,1,0,0,3,2,0,0,842,11,3,1,320409948086780,83001,44679,NA,1,NA,0,911.04,101,35,2,100,10,2,21,0,41,123,0,1,137616,21308
"61",2009,44839,3,NA,20081203056500,1,NA,1053.59,1,0.774,31,24,3,8840,24033,47900,0,70000,17405,22071,0,0,1,0,1,0,0,0,0,98,0,740,11,3,0,50952540799591,85001,44839,NA,1,NA,20081203056501,1053.59,101,53,1,200,10,2,21,0,11,73,0,1,70000,50000
"62",2009,45153,3,NA,20071201437000,1,NA,206.87,1,0.774,31,11,2,8840,11001,47900,0,20100,0,0,2,0,2,1000,2,6,12,2,1,2,7248,100,11,1,0,951071903117420,84001,45153,NA,2,NA,20071201437004,241.32,301,11,1,200,0,0,0,0,99,1,0,0,20100,999999999
"63",2009,46276,3,NA,20090301372500,1,NA,221.24,1,0.774,31,11,2,8840,11001,47900,0,209000,8416,2800,0,0,1,0,1,0,0,1,2,0,0,843,11,3,0,270614091318059,85001,46276,NA,3,NA,20090301372504,215.4,301,12,1,200,0,0,0,0,99,1,0,0,209000,999999999
"64",2009,47183,3,NA,20090106118400,1,NA,1308.66,1,0.774,31,51,4,9999,0,99998,0,192882,17405,5000,0,0,1,0,1,0,0,1,2,0,0,843,11,3,0,110820487550165,85001,48748,NA,4,NA,20090106118404,1372.6,301,10,1,100,0,0,0,0,99,1,0,0,192882,999999999
"65",2009,47605,3,NA,20080106660700,1,NA,1607.82,1,0.774,31,51,3,6761,0,40060,0,52480,6393,350,0,0,1,0,1,0,0,2,2,0,0,820,11,1,0,594952809022179,84001,47489,NA,1,NA,20080106660701,1607.82,101,56,1,100,10,2,13,0,11,73,0,1,52480,40000
"66",2009,48319,3,NA,20080306658400,1,NA,2873.1,1,0.774,31,51,3,8840,51059,47900,0,164004,3821,3000,0,0,1,0,1,0,0,99,0,99,0,842,11,3,0,189630915120945,84001,48253,NA,3,NA,20080306658403,3121.03,301,22,2,100,34,1,0,1,99,81,3,1,164004,0
"67",2009,49762,3,NA,0,1,NA,650.51,1,0.774,31,54,4,1480,0,16620,0,44000,2278,0,0,0,1,0,1,0,0,1,1,1,0,720,11,3,1,954419330206501,83001,49334,NA,2,NA,0,650.51,201,32,1,100,10,2,21,0,11,73,0,1,44000,15000
"68",2009,50484,3,NA,20080104846600,1,NA,3345.68,1,0.774,31,37,1,9998,0,99998,0,18437,19,12,0,0,1,0,1,0,0,99,0,99,0,500,1,3,0,125366089700912,84001,51616,NA,1,NA,20080104846601,3345.68,101,85,1,100,36,1,0,1,99,20,0,1,18437,18437
"69",2009,50601,3,NA,20090304841300,1,NA,1646.44,1,0.774,31,37,1,9998,37097,99998,0,88000,4639,500,0,0,1,0,1,0,0,2,2,0,0,740,11,3,0,373001068909497,85001,51733,NA,3,NA,20090304841304,1584.08,301,12,2,100,0,0,0,0,99,1,0,0,88000,999999999
"70",2009,50950,3,NA,20081202859300,1,NA,2870.89,1,0.774,31,37,2,1521,37119,16740,1,73465,1264,1200,0,0,1,0,1,0,0,99,0,99,0,830,11,3,0,992097913359390,85001,50465,NA,2,NA,20081202859302,2870.89,201,59,2,100,34,1,0,1,99,111,0,1,73465,1300
"71",2009,52628,3,NA,0,1,NA,1101.65,1,0.774,31,45,3,1440,0,16700,0,47000,0,0,1,1,1,0,1,0,0,99,0,99,0,740,12,2,1,599730763250914,86001,52300,NA,1,NA,0,1101.65,101,28,2,100,10,2,25,0,11,111,0,1,47000,47000
"72",2009,53834,3,NA,20080301836100,1,NA,1309.97,1,0.774,31,13,3,521,0,12060,0,105402,7593,2800,0,0,1,0,1,0,0,0,0,98,0,842,11,3,0,410309949639297,84001,53542,NA,6,NA,20080301836103,1578.45,301,4,1,200,0,0,0,0,99,1,0,0,105402,999999999
"73",2009,54956,3,NA,0,1,NA,1445.48,1,0.774,31,13,3,521,0,12060,0,46000,0,0,1,1,1,0,1,0,0,1,2,0,0,470,11,1,1,810309968354193,83001,54664,NA,3,NA,0,1599.18,301,2,1,100,0,0,0,0,99,1,0,0,30000,999999999
"74",2009,56737,3,NA,0,1,NA,1032.22,1,0.774,31,12,2,5001,12011,33100,0,50000,0,0,1,1,1,0,1,0,0,99,0,99,0,740,11,3,1,508909261294182,83001,56640,NA,1,NA,0,1032.22,101,32,2,300,10,2,21,0,11,92,0,1,50000,50000
"75",2009,57262,3,NA,0,1,NA,1655.23,1,0.774,31,12,3,5001,12086,33100,0,80000,17405,16000,0,0,1,0,1,0,0,0,0,98,0,996,11,3,1,170321593115779,83001,57165,NA,1,NA,0,1655.23,101,44,2,100,10,2,28,0,11,123,0,1,80000,52000
"76",2009,57872,3,NA,20080101592500,1,NA,2944.16,1,0.774,31,12,3,5960,12069,36740,0,57001,7593,4800,0,0,1,0,1,0,0,99,0,99,0,740,11,3,0,210209982479290,84001,57775,NA,1,NA,20080101592503,2944.16,101,30,2,100,10,2,21,0,11,73,0,1,42001,42001
"77",2009,59114,3,NA,20090301661300,1,NA,1379.74,1,0.774,31,12,3,8280,12057,45300,0,92253,3234,1200,0,0,1,0,1,0,0,3,2,0,0,830,11,3,0,810200002317927,85001,59114,NA,6,NA,20090301661305,2505.74,301,0,2,100,0,0,0,0,99,1,0,0,92253,999999999
"78",2009,61302,3,NA,20080306029900,1,NA,1435.73,1,0.774,32,47,1,9998,0,99998,0,36557,3796,130,0,0,1,0,2,3,12,1,1,1,2148,740,11,1,0,466904208052779,84001,61372,NA,4,NA,20080306029902,1927.7,1260,18,1,100,34,1,0,1,99,73,5,1,0,0
"79",2009,61456,3,NA,20080206034900,1,NA,2568.93,1,0.774,32,47,1,9998,0,99998,0,60004,0,0,1,1,1,0,1,0,0,3,2,0,0,830,1,3,0,969067949439170,84001,62271,NA,6,NA,20080206034904,2382.5,301,4,2,100,0,0,0,0,99,1,0,0,60004,999999999
"80",2009,61937,3,NA,0,1,NA,2853.83,1,0.774,32,47,2,4920,0,32820,0,47269,-66,1180,0,0,1,0,1,0,0,99,0,99,0,720,11,1,1,474295093908693,83001,61787,NA,1,NA,0,2853.83,101,60,2,200,10,2,21,0,11,73,0,1,47269,20800
"81",2009,63168,3,NA,0,1,NA,1306.46,1,0.774,32,1,2,3440,0,26620,0,230852,4228,760,0,0,1,0,1,0,0,99,0,99,0,842,5,3,1,59500110996493,86001,63120,NA,3,NA,0,1582.22,301,27,1,100,34,1,0,1,99,73,0,2,190852,10000
"82",2009,63541,3,NA,20090303629200,1,NA,1178.43,1,0.774,32,28,1,9998,0,99998,0,7937,2468,2708,0,0,1,0,2,3,12,1,1,1,4320,100,11,3,0,820806991316990,85001,63541,NA,1,NA,20090303629201,1178.43,101,47,2,100,34,1,0,1,99,50,0,2,7937,0
"83",2009,63929,3,NA,20071203646500,1,NA,2163.85,1,0.774,32,28,4,9999,0,99998,0,11974,3379,0,0,0,1,0,1,0,0,99,0,99,0,996,11,3,0,67452180998790,84001,64242,NA,1,NA,20071203646501,2163.85,101,80,2,100,36,1,0,1,99,111,0,1,11974,11974
"84",2009,64022,3,NA,0,1,NA,1207.4,1,0.774,32,28,1,9998,0,99998,0,88949,2791,600,0,0,1,0,1,0,0,0,0,98,0,841,11,3,1,748295619800992,83001,64335,NA,3,NA,0,1774.9,301,21,1,100,10,2,27,0,41,81,3,1,88949,9000
"85",2009,64811,3,NA,0,1,NA,748.25,1,0.774,33,5,2,9999,0,99998,0,25448,228,156,0,0,1,0,1,0,0,99,0,99,0,430,1,1,1,550388084909897,85001,65018,NA,2,NA,0,748.25,1114,28,2,100,10,2,21,0,22,40,0,1,11648,11648
"86",2009,65141,3,NA,0,1,NA,766.61,1,0.774,33,5,4,2720,0,22900,0,44000,0,0,1,1,1,0,2,4,1,99,0,99,14,996,6,1,1,510730171770080,83001,64930,NA,2,NA,0,766.61,201,28,2,100,34,1,0,1,99,10,0,1,44000,14000
"87",2009,66062,3,NA,20080302767400,1,NA,1352.43,1,0.774,33,22,2,5561,22051,35380,0,158000,526,0,0,0,1,0,1,0,0,0,0,98,0,842,11,3,0,422357044909690,84001,66062,NA,4,NA,20080302767403,1288.63,301,4,1,100,0,0,0,0,99,1,0,0,158000,999999999
"88",2009,66086,3,NA,20090202743500,1,NA,2172.64,1,0.774,33,22,2,5561,22051,35380,0,407680,5034,4600,0,0,1,0,1,0,0,2,2,0,0,996,11,3,0,720209907330989,85001,66086,NA,2,NA,20090202743502,2172.64,201,54,1,100,10,2,21,0,11,124,0,1,407680,407680
"89",2009,67392,3,NA,20071205224800,1,NA,1277.64,1,0.774,33,40,3,8560,0,46140,0,60490,7528,4400,0,0,1,0,1,0,0,1,2,0,0,820,11,3,0,212406130000111,84001,67392,NA,3,NA,20071205224804,886.03,301,6,2,802,0,0,0,0,99,1,0,0,60490,999999999
